dt,Sales
2010-12-01,658678.4900000002
2009-05-01,637481.3899999998
2009-01-01,734559.3599999996
2012-09-01,746258.8299999995
2010-03-01,529839.6000000002
2012-10-01,686499.5099999993
2010-05-01,748098.0000000003
2011-01-01,495309.26000000007
2011-03-01,568968.4600000002
2009-09-01,648992.75
2010-09-01,664165.0500000003
2009-06-01,555516.2199999999
2009-10-01,570492.5099999999
2009-02-01,539887.7999999998
2009-12-01,560232.9200000002
2011-09-01,546311.0599999998
2012-03-01,663876.6600000004
2012-04-01,644937.6699999998
2010-01-01,577908.3700000001
2010-11-01,612978.8400000003
2010-07-01,584327.2599999997
2010-02-01,586651.7600000002
2012-02-01,568369.2700000003
2009-07-01,670807.13
2011-07-01,597472.7899999998
2009-08-01,660353.6399999995
2009-04-01,614983.31
2010-08-01,622679.6900000004
2010-04-01,490967.0900000001
2011-02-01,580321.9899999998
2011-12-01,685090.8100000002
2012-05-01,791906.5300000003
2010-06-01,611528.2600000001
2011-05-01,704810.65
2009-03-01,559449.9600000002
2012-08-01,676695.64
2011-04-01,634585.7599999999
2011-06-01,556900.99
2012-06-01,538030.1399999997
2009-11-01,566171.2399999998
2012-01-01,614104.2200000001
2012-12-01,550921.89
2012-07-01,607933.3999999998
2010-10-01,662096.0899999995
2011-11-01,592957.9600000001
2011-10-01,558738.0700000004
2011-08-01,511388.6199999998
2012-11-01,473760.5700000001
